Model Number,FLUKE A3000FC
Tool Name,A3000FC - B
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 13:01:01,Jun 30 2024 13:56:34,1:00:55:33,00:01:00,1496

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
98,Jun 29 2024 14:38:01,00:01:00,Jun 29 2024 14:38:41,"18.1","14.8",Jun 29 2024 14:38:50,"13.5",Jun 29 2024 14:39:01
99,Jun 29 2024 14:39:01,00:01:00,Jun 29 2024 14:39:11,"14.4","13.5",Jun 29 2024 14:39:44,"13.2",Jun 29 2024 14:40:01
100,Jun 29 2024 14:40:01,00:01:00,Jun 29 2024 14:40:26,"18.1","14.7",Jun 29 2024 14:40:01,"13.3",Jun 29 2024 14:41:01
101,Jun 29 2024 14:41:01,00:01:00,Jun 29 2024 14:41:56,"18.7","14.3",Jun 29 2024 14:41:26,"13.2",Jun 29 2024 14:42:01
102,Jun 29 2024 14:42:01,00:01:00,Jun 29 2024 14:42:01,"17.2","14",Jun 29 2024 14:42:56,"13.3",Jun 29 2024 14:43:01
103,Jun 29 2024 14:43:01,00:01:00,Jun 29 2024 14:43:12,"23.4","15.2",Jun 29 2024 14:43:06,"13.3",Jun 29 2024 14:44:01
104,Jun 29 2024 14:44:01,00:01:00,Jun 29 2024 14:44:56,"18.7","15.1",Jun 29 2024 14:44:26,"13.8",Jun 29 2024 14:45:01
105,Jun 29 2024 14:45:01,00:01:00,Jun 29 2024 14:45:41,"15","14.2",Jun 29 2024 14:45:11,"13.9",Jun 29 2024 14:46:01
106,Jun 29 2024 14:46:01,00:01:00,Jun 29 2024 14:46:11,"19.4","15.1",Jun 29 2024 14:46:25,"13.7",Jun 29 2024 14:47:01
107,Jun 29 2024 14:47:01,00:01:00,Jun 29 2024 14:47:41,"18.5","15.2",Jun 29 2024 14:47:11,"13.7",Jun 29 2024 14:48:01
108,Jun 29 2024 14:48:01,00:01:00,Jun 29 2024 14:49:01,"18.2","14.6",Jun 29 2024 14:48:20,"13.9",Jun 29 2024 14:49:01
109,Jun 29 2024 14:49:01,00:01:00,Jun 29 2024 14:49:02,"18.2","14.6",Jun 29 2024 14:49:24,"13.7",Jun 29 2024 14:50:01
110,Jun 29 2024 14:50:01,00:01:00,Jun 29 2024 14:50:41,"18.3","14.9",Jun 29 2024 14:50:22,"13.6",Jun 29 2024 14:51:01
111,Jun 29 2024 14:51:01,00:01:00,Jun 29 2024 14:51:56,"17.9","14.2",Jun 29 2024 14:51:41,"13.3",Jun 29 2024 14:52:01
112,Jun 29 2024 14:52:01,00:01:00,Jun 29 2024 14:52:01,"17.7","14.2",Jun 29 2024 14:52:51,"13.2",Jun 29 2024 14:53:01
113,Jun 29 2024 14:53:01,00:01:00,Jun 29 2024 14:53:26,"17.9","14.7",Jun 29 2024 14:53:56,"13.4",Jun 29 2024 14:54:01
114,Jun 29 2024 14:54:01,00:01:00,Jun 29 2024 14:54:56,"17.9","14.3",Jun 29 2024 14:54:27,"13.2",Jun 29 2024 14:55:01
115,Jun 29 2024 14:55:01,00:01:00,Jun 29 2024 14:55:05,"17.3","14",Jun 29 2024 14:56:00,"13.3",Jun 29 2024 14:56:01
116,Jun 29 2024 14:56:01,00:01:00,Jun 29 2024 14:56:26,"17.8","14.6",Jun 29 2024 14:57:01,"12.3",Jun 29 2024 14:57:01
117,Jun 29 2024 14:57:01,00:01:00,Jun 29 2024 14:57:56,"16.7","13.4",Jun 29 2024 14:57:24,"12.1",Jun 29 2024 14:58:01
118,Jun 29 2024 14:58:01,00:01:00,Jun 29 2024 14:58:01,"15.9","12.5",Jun 29 2024 14:58:34,"12.1",Jun 29 2024 14:59:01
119,Jun 29 2024 14:59:01,00:01:00,Jun 29 2024 14:59:26,"16.9","13.5",Jun 29 2024 14:59:11,"12.1",Jun 29 2024 15:00:01
120,Jun 29 2024 15:00:01,00:01:00,Jun 29 2024 15:00:19,"22","13.9",Jun 29 2024 15:00:14,"12.3",Jun 29 2024 15:01:01
121,Jun 29 2024 15:01:01,00:01:00,Jun 29 2024 15:01:01,"16.7","13",Jun 29 2024 15:01:57,"12.4",Jun 29 2024 15:02:01
122,Jun 29 2024 15:02:01,00:01:00,Jun 29 2024 15:02:26,"16.9","13.8",Jun 29 2024 15:02:13,"12.5",Jun 29 2024 15:03:01
123,Jun 29 2024 15:03:01,00:01:00,Jun 29 2024 15:03:56,"17.1","13.8",Jun 29 2024 15:03:12,"12.5",Jun 29 2024 15:04:01
124,Jun 29 2024 15:04:01,00:01:00,Jun 29 2024 15:04:56,"14","12.7",Jun 29 2024 15:04:41,"12.4",Jun 29 2024 15:05:01
